player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Miguel Gutiérrez,Girona,D,22,Spain,spain,2324,23846.0,1240000.0
Miguel Rubio,Granada,D,25,Spain,spain,2324,23462.0,1220000.0
Facundo Pellistri,Granada,F,22,Uruguay,spain,2324,23077.0,1200000.0
Edgar González,Almeria,D,26,Spain,spain,2324,23077.0,1200000.0
Jonathan Viera,Las Palmas,F,33,Spain,spain,2324,23077.0,1200000.0
Aleix García,Girona,M,26,Spain,spain,2324,23077.0,1200000.0
Omar Alderete,Getafe,D,27,Paraguay,spain,2324,23077.0,1200000.0
Óscar Rodríguez,Getafe,F,25,Spain,spain,2324,23077.0,1200000.0
Falcao,Rayo Vallecano,F,37,Colombia,spain,2324,23077.0,1200000.0
Manu Trigueros,Villarreal,M,32,Spain,spain,2324,23077.0,1200000.0
Diego Rico,Getafe,D,30,Spain,spain,2324,23077.0,1200000.0
Cristhian Stuani,Girona,F,37,Uruguay,spain,2324,23077.0,1200000.0
Claudio Bravo,Real Betis,K,40,Chile,spain,2324,23077.0,1200000.0
Óscar Mingueza,Celta Vigo,D,24,Spain,spain,2324,22115.0,1150000.0
Javier Manquillo,Celta Vigo,D,29,Spain,spain,2324,21923.0,1140000.0
Ignasi Miquel,Granada,D,31,Spain,spain,2324,21923.0,1140000.0
Lucas Robertone,Almeria,M,26,Argentina,spain,2324,21154.0,1100000.0
Adrià Pedrosa,Sevilla,D,25,Spain,spain,2324,21154.0,1100000.0
Johan Mojica,Osasuna,D,31,Colombia,spain,2324,21154.0,1100000.0
Yangel Herrera,Girona,M,26,Venezuela,spain,2324,21154.0,1100000.0
César Montes,Almeria,D,26,Mexico,spain,2324,21154.0,1100000.0
Roger Martí,Cadiz,F,33,Spain,spain,2324,20769.0,1080000.0
Mihailo Ristic,Celta Vigo,D,28,Serbia,spain,2324,20192.0,1050000.0
Jorge Cuenca,Villarreal,D,24,Spain,spain,2324,20192.0,1050000.0
Tadeo Allende,Celta Vigo,F,24,Argentina,spain,2324,20192.0,1050000.0
Óscar Melendo,Granada,F,26,Spain,spain,2324,20000.0,1040000.0
Sávio,Girona,F,19,Brazil,spain,2324,20000.0,1040000.0
Thierry Correia,Valencia,D,24,Portugal,spain,2324,20000.0,1040000.0
Carlos Vicente,Alaves,F,24,Spain,spain,2324,20000.0,1040000.0
Horaţiu Moldovan,Atletico Madrid,K,26,Romania,spain,2324,20000.0,1040000.0
Óscar Trejo,Rayo Vallecano,F,35,Argentina,spain,2324,20000.0,1040000.0
