,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
Beñat Prados,"€ 28,077","€ 1,460,000","€ 1,460,000",M,22,Spain,Athletic Club,spain,2324
Antonio Sánchez,"€ 28,077","€ 1,460,000","€ 1,460,000",M,26,Spain,Mallorca,spain,2324
Pablo Maffeo,"€ 28,077","€ 1,460,000","€ 1,460,000",D,26,Argentina,Mallorca,spain,2324
Andrei Rațiu,"€ 28,077","€ 1,460,000","€ 1,460,000",D,25,Romania,Rayo Vallecano,spain,2324
Toni Lato,"€ 28,077","€ 1,460,000","€ 1,460,000",D,26,Spain,Mallorca,spain,2324
Luis Milla,"€ 28,077","€ 1,460,000","€ 1,460,000",M,29,Spain,Getafe,spain,2324
Jon Moncayola,"€ 28,077","€ 1,460,000","€ 1,460,000",M,25,Spain,Osasuna,spain,2324
Darwin Machís,"€ 27,885","€ 1,450,000","€ 1,450,000",F,30,Venezuela,Cadiz,spain,2324
Álvaro García,"€ 27,885","€ 1,450,000","€ 1,450,000",F,31,Spain,Rayo Vallecano,spain,2324
Jaume Doménech,"€ 27,885","€ 1,450,000","€ 1,450,000",K,33,Spain,Valencia,spain,2324
Andrés Guardado,"€ 26,923","€ 1,400,000","€ 1,400,000",M,36,Mexico,Real Betis,spain,2324
Alberto Moreno,"€ 26,923","€ 1,400,000","€ 1,400,000",D,31,Spain,Villarreal,spain,2324
Sheraldo Becker,"€ 26,923","€ 1,400,000","€ 1,400,000",F,28,Suriname,Real Sociedad,spain,2324
Agustín Marchesín,"€ 26,923","€ 1,400,000","€ 1,400,000",K,35,Argentina,Celta Vigo,spain,2324
Ante Budimir,"€ 25,962","€ 1,350,000","€ 1,350,000",F,32,Croatia,Osasuna,spain,2324
Yeremi Pino,"€ 25,962","€ 1,350,000","€ 1,350,000",F,21,Spain,Villarreal,spain,2324
Rubén García,"€ 25,962","€ 1,350,000","€ 1,350,000",F,30,Spain,Osasuna,spain,2324
Vitolo,"€ 25,962","€ 1,350,000","€ 1,350,000",F,34,Spain,Atletico Madrid,spain,2324
Anastasios Douvikas,"€ 25,000","€ 1,300,000","€ 1,300,000",F,24,Greece,Celta Vigo,spain,2324
Juan Miranda,"€ 25,000","€ 1,300,000","€ 1,300,000",D,24,Spain,Real Betis,spain,2324
