,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
Nicolò Casale,"€ 35,577","€ 1,850,000","€ 1,850,000",D,26,Italy,Bologna,italy,2425
Philip Billing,"€ 35,577","€ 1,850,000","€ 1,850,000",M,28,Denmark,Napoli,italy,2425
Pasquale Mazzocchi,"€ 35,577","€ 1,850,000","€ 1,850,000",D,29,Italy,Napoli,italy,2425
Davide Calabria,"€ 35,577","€ 1,850,000","€ 1,850,000",D,28,Italy,Bologna,italy,2425
Máximo Perrone,"€ 35,577","€ 1,850,000","€ 1,850,000",M,22,Argentina,Como,italy,2425
Yann Karamoh,"€ 35,577","€ 1,850,000","€ 1,850,000",F,26,France,Torino,italy,2425
Juan Jesus,"€ 35,577","€ 1,850,000","€ 1,850,000",D,33,Brazil,Napoli,italy,2425
Nicolás Valentini,"€ 35,577","€ 1,850,000","€ 1,850,000",D,23,Argentina,Hellas Verona,italy,2425
Rafael Tolói,"€ 35,577","€ 1,850,000","€ 1,850,000",D,34,Italy,Atalanta,italy,2425
Odilon Kossounou,"€ 35,577","€ 1,850,000","€ 1,850,000",D,24,Cote d'Ivoire,Atalanta,italy,2425
Marten de Roon,"€ 35,577","€ 1,850,000","€ 1,850,000",M,33,Netherlands,Atalanta,italy,2425
Mario Pasalic,"€ 35,577","€ 1,850,000","€ 1,850,000",M,29,Croatia,Atalanta,italy,2425
Marco Brescianini,"€ 35,577","€ 1,850,000","€ 1,850,000",M,25,Italy,Atalanta,italy,2425
Stefano Sensi,"€ 35,577","€ 1,850,000","€ 1,850,000",M,29,Italy,Monza,italy,2425
Ionut Radu,"€ 35,577","€ 1,850,000","€ 1,850,000",K,27,Romania,Inter Milan,italy,2425
Gaetano Castrovilli,"€ 35,577","€ 1,850,000","€ 1,850,000",M,27,Italy,Monza,italy,2425
Danilo D'Ambrosio,"€ 35,577","€ 1,850,000","€ 1,850,000",D,36,Italy,Monza,italy,2425
Alessio Cragno,"€ 35,577","€ 1,850,000","€ 1,850,000",K,30,Italy,Monza,italy,2425
Kevin Bonifazi,"€ 35,577","€ 1,850,000","€ 1,850,000",D,28,Italy,Lecce,italy,2425
