,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
Dal Varesanovic,"€ 8,654","€ 450,000","€ 450,000",F,23,Bosnia-Herzegovina,Caykur Rizespor,turkey,2425
Christopher Lungoyi,"€ 8,654","€ 450,000","€ 450,000",F,24,Switzerland,Gaziantep BB,turkey,2425
Bilal Boutobba,"€ 8,654","€ 450,000","€ 450,000",F,26,France,Hatayspor,turkey,2425
Zeki Yavru,"€ 8,654","€ 450,000","€ 450,000",D,33,Turkey,Samsunspor,turkey,2425
Abdulkadir Parmak,"€ 8,654","€ 450,000","€ 450,000",M,30,Turkey,Hatayspor,turkey,2425
Jonathan Okoronkwo,"€ 8,654","€ 450,000","€ 450,000",F,21,Nigeria,Hatayspor,turkey,2425
Ramzi Safuri,"€ 8,654","€ 450,000","€ 450,000",F,29,Israel,Antalyaspor,turkey,2425
Görkem Sağlam,"€ 8,654","€ 450,000","€ 450,000",M,26,Turkey,Hatayspor,turkey,2425
Emrah Başsan,"€ 8,654","€ 450,000","€ 450,000",F,32,Turkey,Sivasspor,turkey,2425
Umut Güneş,"€ 8,654","€ 450,000","€ 450,000",M,24,Turkey,Trabzonspor,turkey,2425
Marko Jevtovic,"€ 8,462","€ 440,000","€ 440,000",M,31,Serbia,Konyaspor,turkey,2425
Danijel Aleksic,"€ 8,462","€ 440,000","€ 440,000",F,33,Serbia,Konyaspor,turkey,2425
