,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
Exequiel Palacios,"€ 32,692","€ 1,700,000","€ 1,700,000",M,24,Argentina,Bayer Leverkusen,germany,2223
Maya Yoshida,"€ 32,692","€ 1,700,000","€ 1,700,000",D,34,Japan,Schalke 04,germany,2223
Leandro Barreiro Martins,"€ 32,308","€ 1,680,000","€ 1,680,000",M,23,Luxembourg,Mainz,germany,2223
Odilon Kossounou,"€ 31,346","€ 1,630,000","€ 1,630,000",D,22,Cote d'Ivoire,Bayer Leverkusen,germany,2223
Chidera Ejuke,"€ 31,154","€ 1,620,000","€ 1,620,000",F,25,Nigeria,Hertha Berlin,germany,2223
Jesper Lindström,"€ 31,154","€ 1,620,000","€ 1,620,000",F,22,Denmark,Eintracht Frankfurt,germany,2223
Mitchel Bakker,"€ 30,962","€ 1,610,000","€ 1,610,000",D,22,Netherlands,Bayer Leverkusen,germany,2223
Jordan Larsson,"€ 30,769","€ 1,600,000","€ 1,600,000",F,25,Sweden,Schalke 04,germany,2223
Josip Juranovic,"€ 30,769","€ 1,600,000","€ 1,600,000",D,27,Croatia,Union Berlin,germany,2223
Carlos Gruezo,"€ 30,769","€ 1,600,000","€ 1,600,000",M,27,Ecuador,Augsburg,germany,2223
André Hahn,"€ 30,769","€ 1,600,000","€ 1,600,000",F,32,Germany,Augsburg,germany,2223
Robert Andrich,"€ 30,769","€ 1,600,000","€ 1,600,000",M,28,Germany,Bayer Leverkusen,germany,2223
Florent Mollet,"€ 30,000","€ 1,560,000","€ 1,560,000",F,30,France,Schalke 04,germany,2223
Daniel-Kofi Kyereh,"€ 29,038","€ 1,510,000","€ 1,510,000",F,26,Ghana,Freiburg,germany,2223
Danny da Costa,"€ 29,038","€ 1,510,000","€ 1,510,000",D,29,Germany,Mainz,germany,2223
Dan-Axel Zagadou,"€ 29,038","€ 1,510,000","€ 1,510,000",D,23,France,Stuttgart,germany,2223
Robin Zentner,"€ 28,846","€ 1,500,000","€ 1,500,000",K,28,Germany,Mainz,germany,2223
Florian Niederlechner,"€ 28,846","€ 1,500,000","€ 1,500,000",F,31,Germany,Augsburg,germany,2223
Chris Führich,"€ 28,846","€ 1,500,000","€ 1,500,000",F,25,Germany,Stuttgart,germany,2223
Jérôme Roussillon,"€ 28,846","€ 1,500,000","€ 1,500,000",D,30,France,Union Berlin,germany,2223
Marvin Plattenhardt,"€ 28,846","€ 1,500,000","€ 1,500,000",D,31,Germany,Hertha Berlin,germany,2223
Tony Jantschke,"€ 28,846","€ 1,500,000","€ 1,500,000",D,32,Germany,Monchengladbach,germany,2223
